frame_number,timestamp,left_lower_arm,left_lower_leg,left_upper_arm,left_upper_leg,right_lower_arm,right_lower_leg,right_upper_arm,right_upper_leg
1,2026-01-07 18:51:17.069,29.37,,57.65,113.25,25.18,,25.56,51.30
2,2026-01-07 18:51:17.239,29.37,,57.65,113.25,25.18,,25.56,51.30
3,2026-01-07 18:51:17.360,29.37,,57.65,113.25,25.18,,25.56,51.30
4,2026-01-07 18:51:17.474,29.37,,57.65,113.25,25.18,,25.56,51.30
5,2026-01-07 18:51:17.595,29.37,,57.65,113.25,25.18,,25.56,51.30
6,2026-01-07 18:51:17.712,29.37,,57.65,113.25,25.18,,25.56,51.30
7,2026-01-07 18:51:17.828,29.37,,57.65,113.25,25.18,,25.56,50.34
8,2026-01-07 18:51:17.950,29.37,,57.65,60.11,25.18,,25.56,34.81
9,2026-01-07 18:51:18.068,20.98,,57.65,60.11,14.69,,14.91,34.81
10,2026-01-07 18:51:18.183,15.34,,31.14,43.28,14.69,,14.91,34.81
11,2026-01-07 18:51:18.294,15.34,,31.14,43.28,14.69,,14.91,34.81
12,2026-01-07 18:51:18.408,15.34,,31.14,43.28,14.69,,14.91,34.81
13,2026-01-07 18:51:18.522,20.67,,30.69,51.40,17.32,,21.12,39.96
14,2026-01-07 18:51:18.634,20.67,,30.69,51.40,17.32,,21.12,39.96
15,2026-01-07 18:51:18.746,20.67,,30.69,51.40,17.32,,21.12,39.96
16,2026-01-07 18:51:18.863,20.67,,30.69,51.40,17.32,,21.12,39.96
17,2026-01-07 18:51:18.975,20.67,,30.69,51.40,17.32,,21.12,39.96
18,2026-01-07 18:51:19.088,20.67,,30.69,51.40,17.32,,21.12,39.96
19,2026-01-07 18:51:19.201,20.67,,30.69,51.40,17.32,,21.12,39.96
20,2026-01-07 18:51:19.313,20.67,,30.69,51.40,17.32,,21.12,39.96
21,2026-01-07 18:51:19.426,20.67,,30.69,51.40,17.32,,21.12,39.96
22,2026-01-07 18:51:19.539,20.67,,30.69,51.40,17.32,,21.12,39.96
23,2026-01-07 18:51:19.652,20.67,,30.69,51.40,17.32,,21.12,39.96
24,2026-01-07 18:51:19.764,20.67,,30.69,51.40,17.32,,21.12,39.96
25,2026-01-07 18:51:19.878,27.52,,28.95,62.68,18.95,,21.88,45.42
26,2026-01-07 18:51:19.989,27.52,,28.95,62.68,18.95,,21.88,45.42
27,2026-01-07 18:51:20.102,27.52,,28.95,62.68,18.95,,21.88,45.42
28,2026-01-07 18:51:20.215,27.52,,28.95,62.68,18.95,,21.88,45.42
29,2026-01-07 18:51:20.328,27.52,,28.95,62.68,18.95,,21.88,45.42
30,2026-01-07 18:51:20.441,27.52,,28.95,62.68,18.95,,21.88,45.42
31,2026-01-07 18:51:20.554,27.05,,19.39,50.04,16.88,,20.66,43.95
32,2026-01-07 18:51:20.670,27.05,,19.39,50.04,16.88,,20.66,43.95
33,2026-01-07 18:51:20.782,27.05,,19.39,50.04,16.88,,20.66,43.95
34,2026-01-07 18:51:20.895,27.05,,19.39,50.04,16.88,,20.66,43.95
35,2026-01-07 18:51:21.007,27.05,,19.39,50.04,16.88,,20.66,43.95
36,2026-01-07 18:51:21.121,27.05,,19.39,50.04,16.88,,20.66,43.95
37,2026-01-07 18:51:21.235,28.53,,24.14,53.30,18.88,,21.44,46.06
38,2026-01-07 18:51:21.347,28.53,,24.14,64.88,18.88,,21.44,60.17
39,2026-01-07 18:51:21.459,32.52,,24.14,61.25,23.77,,27.17,49.72
40,2026-01-07 18:51:21.571,42.01,,30.64,74.16,23.77,,27.17,49.72
